,Category,name,destinations,age_group,tour_type_des,Vendors,Duration,price,Destination_link
224,River Cruise,Nile Cruise Journey from Marsa Alam," Marsa Alam, Abu Simbel, Aswan, Philae, Kom Ombo, Edfu, Esna, Valley of the Kings, Valley of the Queens, Luxor+2 more", 3 to 120 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,5 days,940,187449
225,Explorer,Land of Pharaohs with Alexandria and the Red Sea," Cairo, Alexandria, Luxor, Dendera, Hurghada ", 1 to 99 ,"Family, Group, Fully Guided, Historical, Christmas & New Year+3 more",Europamundo,10 days,1.873,239551
226,River Cruise,Luxor to Aswan Nile Cruise From Hurghada," Hurghada, Luxor, Valley of the Queens, Valley of the Kings, Esna, Edfu, Kom Ombo, Abu Simbel, Philae, Aswan+3 more", 3 to 120 ,"Family, Group, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,5 days,786,187424
227,Explorer,"10 Days Cairo, Nile Cruise and Hurghada Package"," Cairo, Aswan, Luxor, Hurghada ", 12 to 80 ,Christmas & New Year,CTT Egypt,10 days,1.672,242349
228,Explorer,07 Cairo Pyramids and Hurghada," Cairo, Hurghada ", 1 to 80 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",CTT Egypt,7 days,908,242245
229,In-depth Cultural,Egypt with 4 Days Nile Cruise," Cairo, Luxor, Esna, Edfu, Kom Ombo, Aswan ", 1 to 99 ,"Boat, Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Europamundo,8 days,1.659,184830
230,In-depth Cultural,Classical Egypt - 9 Days," Cairo, Giza, Memphis, Aswan, Abu Simbel, Kom Ombo, Luxor, Valley of the Kings ", 5 to 99 ,"Family, Private, Partially Guided, Historical+2 more",On The Go Tours,9 days,2.495,228506
231,River Cruise,"Splendours of Egypt (Classic, Summer, 12 Days)"," Cairo, Luxor, Dendera, Edfu, Aswan, Philae, Kom Ombo, Giza, Saqqarah ", 5 to 99 ,"Family, Group, Fully Guided, Explorer+2 more",Insight Vacations,12 days,3.302,106534
232,In-depth Cultural,"Legend of Egypt - 10 Days ( Cairo , Giza , White desert Camping , Aswan and Luxor Nile Cruise & Sleeper train )"," Cairo, Giza, White Desert, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,10 days,1.045,161878
233,In-depth Cultural,"Go Tour Egypt - 7 Days ( Cairo & Luxor , Overnight Train Round Trip )"," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,7 days,500,171982
234,River Cruise,Nile cruise 5 days 5 Stars," Cairo, Luxor, Valley of the Kings, Esna, Edfu, Kom Ombo, Aswan, Philae ", 1 to 99 ,"Family, Private, Partially Guided, Explorer, Historical, Christmas & New Year+4 more",Booking Tours,5 days,818,108777
235,In-depth Cultural,Classic Egypt with Nile Cruise," Cairo, Giza, Saqqarah, Aswan, Philae, Abu Simbel, Kom Ombo, Edfu, Luxor, Valley of the Kings+1 more", 16 to 85 ,"River Cruise, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Explore!,10 days,1.937,124519
236,In-depth Cultural,"Egypt on the Line - 5 Days ( Guided Tour to Cairo , Giza and Alexandria )"," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Egypt Best Holidays ,5 days,318,134156
237,Explorer,Land Of Pharaohs," Cairo, Luxor, Abydos, Dendera, Esna, Edfu, Kom Ombo, Aswan, Abu Simbel, Alexandria ", 8 to 90 ,"Family, Private, Group, Fully Guided, Sightseeing+2 more",Indus Travels,11 days,2.543,117058
238,River Cruise,Wonders of Ancient Egypt (12 Days)," Cairo, Giza, Luxor, Kom Ombo, Aswan, Philae ", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Trafalgar,12 days,3.285,83100
239,Explorer,Best of Egypt," Cairo, Luxor, Valley of the Kings, Valley of the Queens, Esna, Edfu, Kom Ombo, Aswan, Philae, Sharm el-Sheikh+3 more", 8 to 90 ,"Family, Private, Group, Fully Guided, Sightseeing+2 more",Indus Travels,10 days,2.361,117061
240,Explorer,Best of Egypt on a Nile Cruise," Cairo, Saqqarah, Aswan, Kom Ombo, Luxor, Hurghada ", 1 to 65 ,"Family, River Cruise, Group, Fully Guided, Historical, Christmas & New Year+4 more",LocalAdventures,10 days,915,229470
241,In-depth Cultural,Best of Egypt for Teenagers - 8 days," Cairo, Giza, Saqqarah, Aswan, Philae, Elephantine Island, Kom Ombo, Luxor, Valley of the Kings+1 more", 12 to 80 ,"Group, Fully Guided, Historical+1 more",On The Go Tours,8 days,945,158641
242,In-depth Cultural,Mystical Egypt," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 8 to 90 ,"Family, Private, Group, Fully Guided, Explorer, Sightseeing+3 more",Indus Travels,8 days,1.271,20371
243,In-depth Cultural,12-Day Felucca and Dahab Egypt tour," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Dahab ", 12 to 50 ,"Group, Partially Guided, Historical, Christmas & New Year+2 more",Vacations to go travel,12 days,1.040,119475
244,In-depth Cultural,"Nile Ancient Kings  - 9 Days ( Cairo , Aswan - Nile Cruise - Luxor ) & Overnight Train Round Trip"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,9 days,772,217323
245,Explorer,Ancient Egypt Tour 9 Days Cairo and Nile Cruise Holiday," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,9 days,818,191929
246,In-depth Cultural,"Wonders of Egypt (Small Groups, Summer, 9 Days)"," Cairo, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan, Giza ", 5 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Coach / Bus+3 more",Insight Vacations,9 days,3.014,192514
247,River Cruise,Nile Cruise from Luxor for 6 Nights," Luxor, Kom Ombo, Aswan, Abu Simbel, Edfu ", 18 to 80 ,"Private, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Egyptology Travel,7 days,645,127928
248,In-depth Cultural,"Egypt on a Budget : 8 Days ( Cairo , Aswan , Abu Simbel , Luxor & Sleeper Train Round Trip )"," Cairo, Giza, Aswan, Abu Simbel, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,8 days,613,159984
249,River Cruise,Holiday In Egypt 4 Days – 3 Nights Nile Cruise From Cairo by Flight," Cairo, Aswan, Philae, Elephantine Island, Kom Ombo, Edfu, Luxor ", 2 to 88 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Holiday In Egypt,4 days,500,170634
250,In-depth Cultural,"Ancient Egypt Tour -  5 Days Cairo , Aswan , Abu Simbel and Luxor by Plane"," Cairo, Giza, Aswan, Abu Simbel, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,5 days,545,226492
251,In-depth Cultural,Splendors of Egypt & The Nile 9-Days Discover Best of Egypt in Luxury Style," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 1 to 75 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Look at Egypt Tours ,9 days,1.770,160044
252,Explorer,Discover Egypt 10 Day (Cairo- Nile Cruise  -Hurghada)," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Itaca Holiday,10 days,886,241575
253,Explorer,Essential Egypt with Cruise - 10 days," Cairo, Giza, Aswan, Philae, Abu Simbel, Kom Ombo, Luxor, Valley of the Kings ", 5 to 99 ,"Family, Group, Fully Guided, Historical+2 more",On The Go Tours,10 days,1.151,228381
254,In-depth Cultural,"15 Days Cairo, Alexandria, Abu Simbel, Nile Cruise & Luxor (12 destinations)"," Cairo, Giza, Alexandria, Saqqarah, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,15 days,1.647,160623
255,Explorer,8 Days Luxury Expedition Cairo & Nile River Cruise," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,795,191856
256,In-depth Cultural,"7 Days Cairo & Luxor, Sharm El Shiekh Holiday"," Cairo, Luxor, Sharm el-Sheikh ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,7 days,992,170704
257,In-depth Cultural,Magic of Egypt in 9 Days," Cairo, Giza, Alexandria, Aswan, Edfu, Kom Ombo, Luxor ", 1 to 99 ,"Active Adventure, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Tours Club,9 days,1.730,220546
258,In-depth Cultural,Egyptian Express for Families - 8 days," Cairo, Giza, Aswan, Philae, Elephantine Island, Kom Ombo, Luxor, Valley of the Kings+1 more", 5 to 80 ,"Family, Group, Fully Guided+1 more",On The Go Tours,8 days,846,143550
259,Explorer,"7 Days 6 Night Package For Cairo, Luxor, Aswan And Alexandria"," Cairo, Giza, Alexandria, Saqqarah, Luxor, Esna, Edfu, Kom Ombo, Abu Simbel, Aswan ", 1 to 1000 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Sun Pyramid Tours,7 days,972,203069
260,In-depth Cultural,"Package 8 days 7 nights to Pyramids, Luxor & Aswan by Air"," Cairo, Giza, Luxor, Valley of the Queens, Valley of the Kings, Edfu, Esna, Kom Ombo, Philae, Aswan+3 more", 3 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,1.917,145800
261,Explorer,"Egypt: See & Experience it ALL in 11 Days, 1st Class Custom Tours"," Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor, Dendera, Hurghada, Cairo, Giza, Memphis, Saqqarah, Sharm el-Sheikh+2 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",CharlieTheTraveler,11 days,2.734,194983
262,In-depth Cultural,"10 Days Cairo, Nile Cruise & Alexandria by Flight (9 destinations)"," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.326,175726
263,In-depth Cultural,6 Days Cairo and Alexandria Holiday," Cairo, Alexandria, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,6 days,647,170369
264,Active Adventure,Dreamy Tour," Cairo, Aswan, Luxor, Dahab ", 2 to 80 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",Alacart Travel Egypt,14 days,920,160902
265,In-depth Cultural,"Golden Egypt 7 days : Cairo - Luxor - Alexandria , Khan El Khalili with flight & tour guided"," Cairo, Giza, Luxor, Alexandria ", 12 to 85 ,"Private, Fully Guided, Explorer, Historical, Christmas & New Year+3 more",Egypt Direct Tours,7 days,899,183231
266,In-depth Cultural,"Best Egypt Tour Package 8 Days Cairo, Alexandria, Luxor & Aswan"," Cairo, Giza, Alexandria, Luxor, Aswan ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,8 days,795,191857
267,In-depth Cultural,"11 Days Cairo, Nile Cruise & Hurghada by Sleeper Train"," Cairo, Giza, Aswan, Edfu, Kom Ombo, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,11 days,1.276,157559
268,Explorer,"Egypt : Iconic Pyramids, Nile Cruise & Red Sea Beach Stay W/Meals & Drinks"," Cairo, Luxor, Edfu, Aswan, Hurghada ", 18 to 80 ,"River Cruise, Private, Partially Guided, Historical, Christmas & New Year+3 more",Wanderful Holidays LLC,14 days,1.816,234370
269,In-depth Cultural,"10 Days Cairo, Aswan and Luxor with Hurghada Holiday"," Cairo, Giza, Aswan, Luxor, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,10 days,1.310,153145
270,In-depth Cultural,"Ramses - 7 Days ( Cairo & 3 Nights Nile Cruise , Overnight Train Round Trip  )"," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor ", 2 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,7 days,700,158678
271,Explorer,"Package 8 days 7 nights to Pyramids, Luxor & Aswan by Air - Cairo to Aswan"," Cairo, Giza, Valley of the Kings, Valley of the Queens, Edfu, Esna, Kom Ombo, Philae, Aswan+2 more", 3 to 100 ,"Family, River Cruise, Private, Fully Guided, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,8 days,1.429,142336
272,In-depth Cultural,"Package 8 Days 7 Nights To Pyramids, Luxor & Aswan by Air"," Cairo, Giza, Luxor, Edfu, Kom Ombo, Aswan ", 3 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,8 days,1.590,145997
273,In-depth Cultural,Discover The Treasures of Cairo & Luxor With Flights & Hotels Included," Cairo, Luxor ", 1 to 90 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,5 days,941,153316
274,River Cruise,5 Days Nile River Cruise from Luxor on Royal Princess," Luxor, Edfu, Aswan ", 2 to 95 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Marsa Alam Tours,5 days,636,163910
275,In-depth Cultural,Must-see treasures of Luxor and Cairo budget tour," Cairo, Giza, Luxor ", 4 to 65 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,5 days,908,110928
276,Active Adventure,Explore Egypt in 6 days ( Cairo - Baharia Oasis -white & black desert with camping)," Cairo, Giza, Bahariya Oasis ", 18 to 95 ,"Private, Group, Fully Guided, Historical, Christmas & New Year+3 more",Egypt Direct Tours,6 days,518,188987
277,In-depth Cultural,Your Budget Egypt Tour Package," Cairo, Luxor, Abu Simbel, Alexandria ", 16 to 70 ,"Active Adventure, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Tours Club,6 days,654,219078
278,Family,Egyptian Odyssey," Cairo, Giza, Memphis, Saqqarah, Luxor, Abu Simbel, Aswan ", 4 to 85 ,"Private, Fully Guided, Christmas & New Year+1 more",Your Egypt Tours,15 days,9.084,110934
279,Explorer,Ultimate Egypt," Cairo, Luxor, Valley of the Kings, Edfu, Kom Ombo, Aswan ", 25 to 99 ,"River Cruise, Private, Group, Fully Guided, Historical+3 more",Culture Trip,10 days,2.260,223088
280,In-depth Cultural,Egypt Fantasy Tour Package," Cairo, Luxor, Sharm el-Sheikh ", 1 to 75 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Your Egypt Tours,9 days,2.952,111045
281,Active Adventure,Best of Siwa Oasis in 5 Days & 4 Nights," Cairo, Siwa Oasis ", 12 to 65 ,"Private, Fully Guided, Christmas & New Year+1 more",Your Egypt Tours,5 days,999,111054
282,In-depth Cultural,Classic Family Adventure - 10 Days," Cairo, Giza, Aswan, Luxor ", 2 to 65 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Your Egypt Tours,10 days,2.089,111083
283,Explorer,12-Day Nile Cruise and Lake Nasser Cruise," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Abu Simbel ", 2 to 80 ,"Family, Private, Fully Guided, Historical, Christmas & New Year+3 more",Agate Travel,12 days,4.069,202716
284,In-depth Cultural,Egypt Deluxe Vacations 12 Days 11 Nights ( Cairo - Aswan - Luxor - Hurghada)," Cairo, Giza, Aswan, Edfu, Luxor, Hurghada ", 4 to 85 ,"Family, Private, Fully Guided, Sightseeing, Christmas & New Year+3 more",Your Egypt Tours,12 days,4.541,110164
285,In-depth Cultural,Queen Nefertiti Tour Package For Women," Cairo, Giza, Alexandria, Aswan, Luxor ", 2 to 75 ,"Private, Fully Guided, Sightseeing, Christmas & New Year+2 more",Your Egypt Tours,12 days,3.815,110930
286,In-depth Cultural,Egypt Highlights  - 5 Days Guided tours to Cairo and Luxor by Sleeper Train," Cairo, Giza, Luxor ", 2 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,5 days,409,158875
287,In-depth Cultural,Nile Family Adventure," Cairo, Aswan, Abu Simbel, Luxor ", 8 to 95 ,"Active Adventure, Family, Private, Group, Fully Guided, Christmas & New Year+3 more",Encounters Travel,9 days,1.605,85338
288,In-depth Cultural,Planet of History -  6 Days Cairo & Luxor Guided Tours by Overnight Train," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,6 days,491,171518
289,In-depth Cultural,Mysterious Egypt & Red Sea," Cairo, Luxor, Edfu, Kom Ombo, Aswan, Hurghada ", 1 to 99 ,"Family, Private, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Wingbuddy,12 days,1.589,101789
290,In-depth Cultural,Wonders of Egypt," Cairo, Luxor, Edfu, Kom Ombo, Kitchener Island, Aswan, Philae, Abu Simbel ", 18 to 95 ,"Active Adventure, Private, Group, Fully Guided, Sailing, Historical, Christmas & New Year+4 more",Ciconia Exclusive Journeys,9 days,1.739,188288
291,Active Adventure,Nubians & Beaches," Cairo, Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor, Hurghada ", 8 to 95 ,"Beach, Family, Private, Group, Fully Guided+2 more",Encounters Travel,12 days,1.985,24072
292,In-depth Cultural,3 Days Cairo Express tour," Cairo, Giza ", 4 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Vacations to go travel,3 days,305,184792
293,In-depth Cultural,"Marvel Cairo - 3 Days ( Giza Pyramids , Sphinx and Egyptian Museum ) & 4 stars Hotel"," Cairo, Giza ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,3 days,147,170049
294,In-depth Cultural,Egyptian Explorer Tour," Cairo, Giza, Aswan, Kom Ombo, Edfu, Luxor, Hurghada ", 8 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Fez Travel,10 days,2.099,94158
295,In-depth Cultural,"King Tut Egypt : 8 Days ( Cairo , Luxor with Sleeper train & Red Sea   )"," Cairo, Giza, Luxor, Hurghada ", 1 to 85 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,8 days,636,202614
296,In-depth Cultural,"Kings of Egypt - 5 Days Guided Tours to Cairo & Luxor , Overnight Train Round Trip"," Cairo, Giza, Luxor ", 2 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,5 days,291,158888
297,River Cruise,4 Nights Luxor Nile Cruise by flight from Cairo," Cairo, Luxor, Edfu, Kom Ombo, Aswan ", 8 to 80 ,"Family, Private, Partially Guided, Explorer, Historical, Christmas & New Year+4 more",Vacations to go travel,5 days,999,127370
298,In-depth Cultural,Nubian Discovery Tour," Cairo, Aswan, Kom Ombo, Edfu, Luxor, Valley of the Kings ", 8 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Fez Travel,9 days,1.299,94162
299,In-depth Cultural,The Egyptian Magic   - 6 Days Pyramids and Cairo Highlights + Camping in the White Desert," Cairo, Giza, Bahariya Oasis, White Desert ", 2 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+4 more",Egypt Best Holidays ,6 days,500,134157
300,In-depth Cultural,"Cairo, Cruise & Coast - 13 days"," Cairo, Giza, Saqqarah, Luxor, Dendera, Valley of the Kings, Edfu, Kom Ombo, Aswan, Abu Simbel, Agilkia Island, Philae, Hurghada+4 more", 5 to 99 ,"Family, Group, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",On The Go Tours,13 days,1.796,29855
301,In-depth Cultural,"Sunny Egypt :  6 Days  ( Cairo, Aswan, Abu Simbel , Luxor & Overnight Sleeper Train Round Trip )"," Cairo, Giza, Aswan, Abu Simbel, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,6 days,590,159988
302,In-depth Cultural,"Tour Package 4 Days Cairo, Giza & Alexandria In 4 Stars Hotels"," Cairo, Giza, Alexandria ", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",Ancient Egypt Tours,4 days,182,170295
303,Active Adventure,Pharaonic Egypt Tour," Cairo, Luxor ", 8 to 99 ,"Family, Group, Fully Guided, Explorer, Historical+3 more",Fez Travel,7 days,1.195,190428
304,In-depth Cultural,Golden Egypt Tour," Cairo, Luxor ", 1 to 65 ,"Family, Group, Fully Guided, Historical+2 more",LocalAdventures,6 days,719,208018
305,Explorer,"Egypt: See & Experience the Ancient Sites in 9 Days, 1st Class Custom Tours"," Aswan, Abu Simbel, Kom Ombo, Edfu, Luxor, Abydos, Dendera, Cairo, Giza, Memphis, Saqqarah+1 more", 1 to 99 ,"Family, Private, Group, Fully Guided, Sightseeing, Christmas & New Year+3 more",CharlieTheTraveler,9 days,2.753,190025
306,In-depth Cultural,Exquisite Egypt Tour- Discover Cairo & Nile Cruise & The Red Sea All-Inclusive," Cairo, Aswan, Kom Ombo, Luxor, Hurghada ", 1 to 75 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Look at Egypt Tours ,12 days,1.951,126459
307,Explorer,"Family Egyptian Sphinx, Pyramids and Nile River"," Cairo, Aswan, Kom Ombo, Luxor, Valley of the Kings, Safaga ", 7 to 85 ,"Family, Group, Fully Guided, Historical, Christmas & New Year+3 more",Explore!,10 days,1.894,124567
308,River Cruise,Package 5 Days 4 Nights Luxor to Aswan Tour by MS Mayfair Nile Cruise," Luxor, Valley of the Kings, Esna, Edfu, Kom Ombo, Philae, Aswan ", 3 to 100 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,5 days,1.087,142665
309,Explorer,Cairo with Luxor & Aswan Nile Cruise, Cairo , 10 to 88 ,,EET Global ,7 days,613,239431
310,In-depth Cultural,"Explore Cairo - 5 Days Guided Tours to Giza Pyramids , Sphinx , Egyptian Museum and More"," Cairo, Giza ", 2 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,5 days,263,178856
311,In-depth Cultural,"History of Egypt -  5 Days Guided tour to Cairo , Giza and Luxor by Flight"," Cairo, Giza, Luxor ", 1 to 99 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Egypt Best Holidays ,5 days,481,226491
312,Explorer,"12 Days Cairo, Alexandria & Nile Cruise by Flight"," Cairo, Alexandria, Luxor, Aswan ", 18 to 80 ,"Group, Partially Guided, Historical, Christmas & New Year+2 more",Egypt Online Tour,12 days,1.408,144466
313,Active Adventure,4 Days – 3 Nights Nile Cruise From Aswan, Aswan , 18 to 80 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Egypt Online Tour,4 days,545,146148
314,In-depth Cultural,"Cairo, Sharm- El Sheikh"," Cairo, Sharm el-Sheikh ", 18 to 65 ,"Private, Fully Guided, Christmas & New Year+1 more",Ancient Power Travel LLC,6 days,1.317,142137
315,River Cruise,Nile Cruise from Aswan for 2 Nights," Aswan, Edfu, Luxor ", 18 to 80 ,"Private, Fully Guided, Explorer, Historical+2 more",Egyptology Travel,3 days,354,139193
316,Active Adventure,Package 5 Days 4 Nights Sonesta St George Nile Cruise Over Xmas & NY," Luxor, Esna, Edfu, Kom Ombo, Aswan ", 12 to 100 ,"Private, Group, Partially Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,1.774,142543
317,In-depth Cultural,Egypt Essential Tour," Hurghada, Cairo, Luxor ", 18 to 65 ,"Private, Fully Guided, Christmas & New Year+1 more",SamEgypt Tours,4 days,899,156859
318,Active Adventure,"8 Days, Cairo Nile Cruise and Abu Simbel."," Cairo, Luxor, Aswan ", 1 to 80 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",CTT Egypt,8 days,1.042,242401
319,River Cruise,Taste of Egypt 2023," Cairo, Luxor, Esna, Edfu, Kom Ombo, Aswan ", 8 to 99 ,"Family, Group, Fully Guided, Historical+2 more",Avalon Waterways,10 days,3.455,226553
320,Sailing,Luxor To Aswan 4 Nights Nile Cruise - Gamila Cruise," Luxor, Valley of the Kings, Valley of the Queens, Esna, Edfu, Kom Ombo, Philae, Aswan+1 more", 1 to 100 ,"Family, Private, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,839,203528
321,Explorer,Prime Cairo to Alexandria 5 days," Cairo, Alexandria ", 15 to 65 ,"Group, Fully Guided, Christmas & New Year+1 more",Prime Holidays Inc,5 days,809,240575
322,,Cairo overnight private from Hurghada," Hurghada, Giza, Cairo ", 18 to 70 ,"Private, Fully Guided, Christmas & New Year+1 more",SamEgypt Tours,2 days,309,156880
323,Explorer,07 Days Cairo Pyramids and Ancient Egypt by flight with Nile Cruise," Cairo, Aswan, Luxor ", 1 to 80 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",CTT Egypt,7 days,839,242346
324,Explorer,05 Days Cairo and Luxor by flight," Cairo, Luxor ", 12 to 80 ,"Group, Partially Guided, Christmas & New Year+1 more",CTT Egypt,5 days,819,242356
325,Explorer,Egyptian Family Adventure," Cairo, Giza, Aswan, Philae, Luxor, Valley of the Kings, Hurghada ", 9 to 99 ,"Active Adventure, Family, Private, Group, Fully Guided, Historical, Christmas & New Year+4 more",Exodus Travels,9 days,1.849,185493
326,River Cruise,4 Nights / 5 Days At Sunrise Mahrosa Cruise From Luxor To Aswan," Luxor, Esna, Edfu, Kom Ombo, Philae, Aswan ", 3 to 100 ,"Family, Private, Fully Guided, Explorer, Historical, Christmas & New Year+4 more",Sun Pyramid Tours,5 days,650,203286
327,River Cruise,Movenpick Royal Lily Easter Nile Cruise," Luxor, Valley of the Queens, Valley of the Kings, Esna, Edfu, Kom Ombo, Aswan, Philae+1 more", 3 to 100 ,"Family, Private, Group, Fully Guided, Explorer, Christmas & New Year+3 more",Sun Pyramid Tours,5 days,1.794,145795
328,Active Adventure,05 Days Cairo And Alexandria Best Attraction," Cairo, Alexandria ", 1 to 80 ,"Family, Group, Partially Guided, Christmas & New Year+2 more",CTT Egypt,5 days,569,242398
329,Explorer,Package 5 Days 4 Nights Mövenpick Royal Lotus Nile Cruise over Christmas," Luxor, Valley of the Queens, Valley of the Kings, Esna, Edfu, Kom Ombo, Philae, Aswan+1 more", 3 to 100 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Sun Pyramid Tours,5 days,1.860,142674
330,In-depth Cultural,Wonder Egypt- Abu Simbel and Relaxing 13 Days," Aswan, Kom Ombo, Edfu, Luxor, Safaga ", 2 to 60 ,"Family, Private, Group, Fully Guided, Christmas & New Year+2 more",Nilvison Egypt Tours ,13 days,1.226,169505
331,Active Adventure,07 Days Cairo and Sharm El-Sheikh Package," Cairo, Sharm el-Sheikh ", 1 to 80 ,"Family, Group, Partially Guided+1 more",CTT Egypt,7 days,908,242347
